Date,Open,High,Low,Close,Adj Close,Volume
2012-01-13,448.820007,449.019989,444.589996,448.260010,448.260010,0
2012-01-16,449.880005,449.880005,449.880005,449.880005,449.880005,0
2012-01-17,449.880005,456.070007,449.880005,455.899994,455.899994,0
2012-01-18,453.089996,457.380005,453.040009,456.000000,456.000000,0
2012-01-19,456.589996,459.619995,456.160004,459.109985,459.109985,0
2012-01-20,458.510010,459.619995,456.329987,457.859985,457.859985,0
2012-01-23,461.079987,463.820007,459.140015,460.890015,460.890015,0
2012-01-24,462.269989,464.410004,459.450012,463.609985,463.609985,0
2012-01-25,465.250000,470.799988,463.399994,468.790009,468.790009,0
2012-01-26,470.890015,475.730011,470.890015,473.989990,473.989990,0
2012-01-27,473.549988,473.549988,470.260010,473.140015,473.140015,0
2012-01-30,474.470001,474.470001,468.260010,469.540009,469.540009,0
2012-01-31,470.299988,473.119995,469.369995,471.609985,471.609985,0
2012-02-01,472.549988,477.209991,472.549988,475.269989,475.269989,0
2012-02-02,476.829987,477.649994,475.149994,476.320007,476.320007,0
2012-02-03,477.250000,482.649994,477.250000,481.989990,481.989990,0
2012-02-06,484.079987,484.079987,479.790009,482.119995,482.119995,0
2012-02-07,482.119995,482.369995,480.109985,481.179993,481.179993,0
2012-02-08,481.369995,483.459991,478.500000,479.329987,479.329987,0
2012-02-09,482.190002,483.070007,475.959991,480.170013,480.170013,0
2012-02-10,478.429993,478.429993,473.070007,474.290009,474.290009,0
2012-02-13,473.859985,479.929993,473.859985,479.489990,479.489990,0
2012-02-14,479.489990,479.489990,472.119995,473.019989,473.019989,0
2012-02-15,473.570007,475.019989,470.109985,470.250000,470.250000,0
2012-02-16,471.260010,475.929993,471.170013,475.809998,475.809998,0
2012-02-17,475.739990,476.480011,472.929993,475.709991,475.709991,0
2012-02-20,475.559998,475.559998,475.559998,475.559998,475.559998,0
2012-02-21,475.559998,475.779999,469.279999,469.440002,469.440002,0
2012-02-22,469.429993,470.809998,465.339996,466.250000,466.250000,0
2012-02-23,465.500000,470.920013,465.339996,469.869995,469.869995,0
2012-02-24,471.880005,473.980011,469.690002,471.700012,471.700012,0
2012-02-27,472.459991,472.459991,465.899994,471.670013,471.670013,0
2012-02-28,471.829987,472.799988,467.540009,467.820007,467.820007,0
2012-02-29,468.089996,471.690002,466.230011,468.279999,468.279999,0
2012-03-01,467.029999,470.500000,467.029999,469.429993,469.429993,0
2012-03-02,469.890015,471.279999,467.500000,468.720001,468.720001,0
2012-03-05,469.019989,472.730011,466.720001,471.420013,471.420013,0
2012-03-06,473.190002,473.190002,467.070007,467.119995,467.119995,0
2012-03-07,466.579987,467.950012,463.940002,467.600006,467.600006,0
2012-03-08,469.109985,470.410004,466.119995,466.480011,466.480011,0
2012-03-09,467.429993,470.769989,466.619995,470.450012,470.450012,0
2012-03-12,469.609985,473.510010,469.609985,473.339996,473.339996,0
2012-03-13,471.779999,476.890015,471.779999,476.559998,476.559998,0
2012-03-14,481.350006,483.029999,477.500000,479.440002,479.440002,0
2012-03-15,479.839996,480.779999,477.859985,480.709991,480.709991,0
2012-03-16,479.959991,482.359985,479.779999,481.440002,481.440002,0
2012-03-19,482.200012,487.230011,480.609985,487.230011,487.230011,0
2012-03-20,486.040009,486.170013,482.739990,484.670013,484.670013,0
2012-03-21,484.720001,485.649994,483.359985,484.350006,484.350006,0
2012-03-22,483.309998,483.309998,474.480011,477.450012,477.450012,0
2012-03-23,477.160004,481.679993,475.109985,480.760010,480.760010,0
2012-03-26,479.959991,485.959991,479.959991,482.980011,482.980011,0
2012-03-27,484.859985,487.850006,484.309998,486.429993,486.429993,0
2012-03-28,484.899994,484.899994,479.140015,479.839996,479.839996,0
2012-03-29,483.390015,483.390015,477.970001,481.820007,481.820007,0
2012-03-30,483.350006,488.359985,483.350006,487.579987,487.579987,0
2012-04-02,487.640015,490.579987,486.410004,490.329987,490.329987,0
2012-04-03,490.989990,491.410004,487.130005,487.420013,487.420013,0
2012-04-04,488.630005,488.630005,481.480011,484.309998,484.309998,0
2012-04-05,483.369995,483.779999,480.410004,481.970001,481.970001,0
2012-04-10,476.619995,477.660004,468.109985,468.179993,468.179993,0
2012-04-11,466.529999,472.019989,466.529999,471.980011,471.980011,0
2012-04-12,472.760010,478.609985,471.559998,478.559998,478.559998,0
2012-04-13,479.239990,479.239990,475.359985,478.940002,478.940002,0
2012-04-16,476.100006,484.730011,476.100006,484.730011,484.730011,0
2012-04-17,483.209991,488.589996,482.230011,488.510010,488.510010,0
2012-04-18,487.510010,487.510010,484.239990,485.369995,485.369995,0
2012-04-19,483.940002,486.440002,482.720001,483.019989,483.019989,0
2012-04-20,483.570007,491.260010,483.570007,490.899994,490.899994,0
2012-04-23,489.540009,489.540009,480.519989,481.040009,481.040009,0
2012-04-24,483.399994,490.109985,483.399994,489.500000,489.500000,0
2012-04-25,490.880005,495.600006,490.880005,495.029999,495.029999,0
2012-04-26,496.570007,496.570007,493.839996,495.890015,495.890015,0
2012-04-27,497.660004,501.410004,496.130005,501.220001,501.220001,0
2012-04-30,500.589996,500.589996,496.369995,496.519989,496.519989,0
2012-05-01,499.839996,507.769989,499.000000,507.109985,507.109985,0
2012-05-02,504.000000,504.470001,498.769989,503.890015,503.890015,0
2012-05-03,503.809998,506.079987,501.890015,502.470001,502.470001,0
2012-05-04,501.700012,501.700012,496.000000,496.869995,496.869995,0
2012-05-08,500.869995,500.869995,495.480011,498.649994,498.649994,0
2012-05-09,500.100006,501.850006,494.579987,501.179993,501.179993,0
2012-05-10,498.309998,501.049988,495.630005,500.190002,500.190002,0
2012-05-11,498.700012,501.440002,494.739990,499.570007,499.570007,0
2012-05-14,499.670013,499.670013,493.529999,496.309998,496.309998,0
2012-05-15,493.170013,493.670013,489.820007,492.429993,492.429993,0
2012-05-16,491.130005,492.970001,485.920013,487.070007,487.070007,0
2012-05-17,485.019989,485.170013,474.989990,476.170013,476.170013,0
2012-05-18,471.309998,474.790009,467.410004,469.649994,469.649994,0
2012-05-21,465.790009,475.350006,465.790009,474.450012,474.450012,0
2012-05-22,475.820007,479.429993,475.109985,477.709991,477.709991,0
2012-05-23,476.570007,476.570007,469.239990,471.850006,471.850006,0
2012-05-24,477.959991,481.890015,474.459991,475.279999,475.279999,0
2012-05-25,479.839996,481.350006,476.630005,477.750000,477.750000,0
2012-05-29,477.709991,484.739990,477.709991,482.470001,482.470001,0
2012-05-30,484.769989,484.769989,474.799988,475.779999,475.779999,0
2012-05-31,473.269989,476.329987,469.320007,475.579987,475.579987,0
2012-06-01,476.380005,476.380005,464.559998,464.869995,464.869995,0
2012-06-06,470.529999,479.920013,470.529999,478.799988,478.799988,0
2012-06-07,481.279999,486.209991,479.380005,479.829987,479.829987,0
2012-06-08,478.000000,483.640015,477.049988,482.839996,482.839996,0
2012-06-11,484.609985,487.670013,478.899994,478.899994,478.899994,0
2012-06-12,474.019989,477.309998,471.880005,475.940002,475.940002,0
2012-06-13,479.130005,481.980011,475.269989,480.339996,480.339996,0
2012-06-14,476.119995,482.130005,476.119995,481.790009,481.790009,0
2012-06-15,483.190002,484.929993,481.920013,483.329987,483.329987,0
2012-06-18,486.200012,491.989990,483.179993,490.649994,490.649994,0
2012-06-19,489.929993,495.260010,488.750000,493.109985,493.109985,0
2012-06-20,492.420013,493.820007,489.329987,492.329987,492.329987,0
2012-06-21,491.869995,492.799988,483.250000,484.309998,484.309998,0
2012-06-22,483.720001,486.470001,481.070007,483.359985,483.359985,0
2012-06-25,483.660004,483.660004,478.029999,480.869995,480.869995,0
2012-06-26,480.959991,485.260010,479.980011,485.260010,485.260010,0
2012-06-27,483.510010,485.940002,481.929993,483.630005,483.630005,0
2012-06-28,485.529999,485.529999,480.619995,484.200012,484.200012,0
2012-06-29,490.269989,502.730011,490.269989,502.700012,502.700012,0
2012-07-02,502.700012,505.980011,501.529999,505.980011,505.980011,0
2012-07-03,507.790009,511.600006,507.269989,510.440002,510.440002,0
2012-07-04,510.440002,510.440002,510.440002,510.440002,510.440002,0
2012-07-05,510.440002,510.910004,506.399994,508.459991,508.459991,0
2012-07-06,507.529999,507.709991,504.239990,507.640015,507.640015,0
2012-07-09,508.410004,508.440002,506.239990,507.959991,507.959991,0
